ID_articulo,doi,url,title,Estado_acceso
A110,10.1002/tqem.22236,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85191692939&doi=10.1002%2Ftqem.22236&partnerID=40&md5=0ca785c5d5d6b0c88172426404d4468b,Technological progression associated with monitoring and management of indoor air pollution and associated health risks: A comprehensive review,ResearchGate
A111,10.1007/s11227-023-05782-3,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85178430870&doi=10.1007%2Fs11227-023-05782-3&partnerID=40&md5=394ee2c6a23d7917a865c6617e8bd7d8,A novel hybrid time-series approach for IoT-cloud-enabled environment monitoring,ResearchGate
A113,10.1201/9781032683805-5,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85206699894&doi=10.1201%2F9781032683805-5&partnerID=40&md5=2b4453c6af6e560b1189892bafb3f91e,Forecasting Air Pollution with Artificial Intelligence: Recent Advancements at Global Scale and Future Perspectives,ResearchGate
A114,10.18494/SAM4661,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85202751409&doi=10.18494%2FSAM4661&partnerID=40&md5=8b0c1e9ecc69b706b8604360e4faa639,Intelligent Factory with Environment Quality Control Based on Fuzzy Method through Deep Reinforcement Learning,Descargado
A117,10.14569/IJACSA.2024.0150684,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85198293522&doi=10.14569%2FIJACSA.2024.0150684&partnerID=40&md5=f78d46ce9c42d591d7624491e738933e,Real-Time Air Quality Monitoring Model using Fuzzy Inference System,Descargado
A123,10.11591/ijeecs.v32.i2.pp715-724,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85174256530&doi=10.11591%2Fijeecs.v32.i2.pp715-724&partnerID=40&md5=4fae550d9e52282433e1b642a7f32d1f,Microcontroller-based air quality monitoring design using mamdani fuzzy method,Descargado
A124,10.1007/s40808-023-01701-w,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85147502380&doi=10.1007%2Fs40808-023-01701-w&partnerID=40&md5=ea5a3c9299ef4785495027794fa62633,Modeling and implementation of a low-cost IoT-smart weather monitoring station and air quality assessment based on fuzzy inference model and MQTT protocol,Descargado
A129,10.1109/ICICAT57735.2023.10263668,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85174848241&doi=10.1109%2FICICAT57735.2023.10263668&partnerID=40&md5=9135c048bbd836f8d3d3df5258d763b4,Implimentation and Study of Fuzzy Based IoT enabled Health Alert system using AQI,ResearchGate
A132,10.31763/ijrcs.v3i1.854,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85161921654&doi=10.31763%2Fijrcs.v3i1.854&partnerID=40&md5=138d2e37a4a0d91092806291c19a89a8,Neuro-Fuzzy Decision Support System for Optimization of the Indoor Air Quality in Operation Rooms,Descargado
A135,10.1016/j.iot.2022.100628,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85140483465&doi=10.1016%2Fj.iot.2022.100628&partnerID=40&md5=072e3dc27c34d1a952ddeb97db254a91,Modeling indoor PM2.5 using Adaptive Dynamic Fuzzy Inference System Tree (ADFIST) on Internet of Things-based sensor network data,Descargado
A136,10.1016/j.iswa.2022.200132,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85140053655&doi=10.1016%2Fj.iswa.2022.200132&partnerID=40&md5=ef570e7b04e91d7288446f2e32cf0073,Context-aware IoT-enabled framework to analyse and predict indoor air quality,Descargado
A138,10.1007/s00500-022-06777-7,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85124332085&doi=10.1007%2Fs00500-022-06777-7&partnerID=40&md5=63ed9047c8cc2b568a9a0f96e84304ec,A novel application of fuzzy inference system optimized with particle swarm optimization and genetic algorithm for PM10 prediction,Descargado
A141,10.3233/AISE220004,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85151187125&doi=10.3233%2FAISE220004&partnerID=40&md5=8fb5b96f05225948fb14b696d015a6b9,Technological interventions and indoor air quality assessment in smart environments: A review,ResearchGate
A142,10.3390/ijerph19063533,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85126465696&doi=10.3390%2Fijerph19063533&partnerID=40&md5=7cbffc5af4e57f21db9fb8dca47f5df9,A Fuzzy Inference System for the Assessment of Indoor Air Quality in an Operating Room to Prevent Surgical Site Infection,Descargado
A144,10.3390/s22031008,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85123527715&doi=10.3390%2Fs22031008&partnerID=40&md5=ffb30b7ceea905fb8f721695f70c3f7a,ADFIST: Adaptive Dynamic Fuzzy Inference System Tree Driven by Optimized Knowledge Base for Indoor Air Quality Assessment,Descargado
A145,10.1504/IJIEI.2022.129095,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85176755950&doi=10.1504%2FIJIEI.2022.129095&partnerID=40&md5=05b324d93fb8e50118d77d82659def9e,An intelligent fuzzy and IoT-aware air quality prediction and monitoring system using CRF and Bi-LSTM,ResearchGate
A146,10.1109/IC2ECS57645.2022.10088050,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85153562996&doi=10.1109%2FIC2ECS57645.2022.10088050&partnerID=40&md5=08fcef657242121628ea04e9b3e3f672,FL-CNN-LSTM: Indoor Air Quality Prediction Using Fuzzy Logic and CNN-LSTM Model,ResearchGate
A149,10.30630/joiv.6.4.889,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85145950935&doi=10.30630%2Fjoiv.6.4.889&partnerID=40&md5=730057150342c14ff56523bb7c26fe19,Application of ARIMA Kalman Filter with Multi-Sensor Data Fusion Fuzzy Logic to Improve Indoor Air Quality Index Estimation,Sin acceso
A150,10.1109/ICCSCE54767.2022.9935658,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85142431518&doi=10.1109%2FICCSCE54767.2022.9935658&partnerID=40&md5=b1e2b540c780e29e0785e6e12789cf86,Design and Development of Fuzzy Logic Based Car Cabin Pollution Monitoring System,ResearchGate
A151,10.1155/2022/4127079,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85139731196&doi=10.1155%2F2022%2F4127079&partnerID=40&md5=0ec7c8e1d2dd5e63b13cc33340c09374,Efficient Monitoring and Adaptive Control of Indoor Air Quality Based on IoT Technology and Fuzzy Inference,Retracted
A152,10.1109/IES55876.2022.9888554,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85139670065&doi=10.1109%2FIES55876.2022.9888554&partnerID=40&md5=ab10f610d0f1a67eac5a30ca0598a4fd,Environmental Condition Monitoring and Decision Making System Using Fuzzy Logic Method,Descargado
A155,10.32604/cmc.2022.029604,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85132324273&doi=10.32604%2Fcmc.2022.029604&partnerID=40&md5=2c4e636f8a2e875d86a4d1c799376368,Big Data Analytics with Artificial Intelligence Enabled Environmental Air Pollution Monitoring Framework,Descargado
A156,10.1007/978-3-030-96486-3_8,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85128948475&doi=10.1007%2F978-3-030-96486-3_8&partnerID=40&md5=32f539005572dd3eb403bfd17882a40e,Online Monitoring of Indoor Air Quality and Thermal Comfort Using a Distributed Sensor-Based Fuzzy Decision Tree Model,ResearchGate
A157,10.1109/iEECON53204.2022.9741563,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85128177831&doi=10.1109%2FiEECON53204.2022.9741563&partnerID=40&md5=7bb1f207e87db8111d8c8ce59b13a06d,Application of a Fuzzy ARTMAP Neural Network for Indoor Air Quality Prediction,Descargado
A165,10.1109/IES53407.2021.9594014,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85119959349&doi=10.1109%2FIES53407.2021.9594014&partnerID=40&md5=1bf47d616c161ed90b99f8c7b2ca9f2d,Implementation of Fuzzy Tsukamoto Algorithm on Smart Node Sensors for Air Quality Monitoring,Descargado
A167,10.1109/MED51440.2021.9480313,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85113621354&doi=10.1109%2FMED51440.2021.9480313&partnerID=40&md5=aeea33520cfccef2e1cec7607a836d64,An intelligent IoT fuzzy based approach for automated indoor air quality monitoring,Descargado
A168,10.1007/s12652-020-02232-3,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85086877018&doi=10.1007%2Fs12652-020-02232-3&partnerID=40&md5=8ec2240f4548d667eb22491e4a5f09a4,Monitoring of air pollution to establish optimal less polluted path by utilizing wireless sensor network,Descargado
A169,10.1088/1742-6596/1879/2/022085,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85107602427&doi=10.1088%2F1742-6596%2F1879%2F2%2F022085&partnerID=40&md5=216855dba0334687cca9b1b98fd127f9,Air Pollution Monitoring based Fuzzy Controller with Embedded System,Descargado
A174,10.1007/978-981-16-1480-4_23,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85107353729&doi=10.1007%2F978-981-16-1480-4_23&partnerID=40&md5=8e4f456e1431f36a2e038c73891b3271,An Ensemble Approach of Multi-objective Differential Evolution Based Benzene Detection,ResearchGate
A178,10.1080/0952813X.2020.1744197,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85083649233&doi=10.1080%2F0952813X.2020.1744197&partnerID=40&md5=c1e585b13d86b203b47678ff64b18cb9,Personalised healthcare model for monitoring and prediction of airpollution: machine learning approach,Descargado
